Date,Day Type,Day Pattern
"Wed, Aug 30",Full Day,1
"Thu, Aug 31",Full Day,2
"Tue, Sep 5",Full Day,3
"Wed, Sep 6",Full Day,4
"Thu, Sep 7",Full Day,5
"Fri, Sep 8",Full Day,6
"Tue, Sep 12",Full Day,7
"Wed, Sep 13",Full Day,1
"Thu, Sep 14",Full Day,2
"Fri, Sep 15",Full Day,3
"Mon, Sep 18",Weather,
"Tue, Sep 19",Full Day,4
"Wed, Sep 20",Full Day,6
"Thu, Sep 21",Full Day,7
"Fri, Sep 22",Full Day,8
"Mon, Sep 25",Full Day,1
"Tue, Sep 26",Full Day,2
"Wed, Sep 27",Full Day,3
"Thu, Sep 28",Full Day,4
"Fri, Sep 29",Full Day,5
"Mon, Oct 2",Full Day,6
"Tue, Oct 3",Full Day,7
"Wed, Oct 4",Full Day,8
"Thu, Oct 5",Full Day,1
"Fri, Oct 6",Full Day,2
"Tue, Oct 10",Full Day,3
"Wed, Oct 11",Full Day,4
"Thu, Oct 12",Full Day,5
"Fri, Oct 13",Full Day,6
"Mon, Oct 16",Full Day,7
"Tue, Oct 17",Full Day,8
"Wed, Oct 18",Full Day,1
"Thu, Oct 19",Full Day,2
"Fri, Oct 20",Half Day,1
"Mon, Oct 23",Full Day,3
"Tue, Oct 24",Full Day,4
"Wed, Oct 25",Full Day,5
"Thu, Oct 26",Full Day,6
"Fri, Oct 27",Full Day,7
"Mon, Oct 30",Full Day,8
"Tue, Oct 31",Full Day,1
"Wed, Nov 1",Full Day,2
"Thu, Nov 2",Full Day,3
"Fri, Nov 3",Full Day,4
"Tue, Nov 7",Full Day,5
"Wed, Nov 8",Full Day,6
"Thu, Nov 9",Full Day,7
"Wed, Nov 15",Full Day,8
"Thu, Nov 16",Full Day,4
"Fri, Nov 17",Full Day,5
"Mon, Nov 20",Full Day,6
"Tue, Nov 21",Full Day,7
"Wed, Nov 22",Half Day,2
"Mon, Nov 27",Full Day,8
"Tue, Nov 28",Full Day,1
"Wed, Nov 29",Full Day,2
"Thu, Nov 30",Full Day,3
"Fri, Dec 1",Full Day,4
"Mon, Dec 4",Full Day,5
"Tue, Dec 5",Full Day,6
"Wed, Dec 6",Full Day,7
"Thu, Dec 7",Full Day,8
"Fri, Dec 8",Half Day,3
"Mon, Dec 11",Full Day,1
"Tue, Dec 12",Full Day,2
"Wed, Dec 13",Full Day,3
"Thu, Dec 14",Full Day,4
"Fri, Dec 15",Full Day,5
"Mon, Dec 18",Full Day,6
"Tue, Dec 19",Full Day,7
"Wed, Dec 20",Full Day,8
"Thu, Dec 21",Full Day,1
"Fri, Dec 22",Full Day,2
"Tue, Jan 2",Full Day,3
"Wed, Jan 3",Full Day,4
"Thu, Jan 4",Full Day,5
"Fri, Jan 5",Full Day,6
"Mon, Jan 8",Full Day,7
"Tue, Jan 9",Full Day,8
"Wed, Jan 10",Full Day,1
"Thu, Jan 11",Full Day,2
"Fri, Jan 12",Full Day,3
"Tue, Jan 16",Exam Day,1
"Wed, Jan 17",Exam Day,2
